COUNTRY,amount,year,UNIT_TYPE_DESCR
FI,55506728,2017,"ERU - Emission Reduction Unit"
SE,47214565,2017,"ERU - Emission Reduction Unit"
ES,94809811,2017,"ERU - Emission Reduction Unit"
IE,40050935,2017,"ERU - Emission Reduction Unit"
DK,9691585,2017,"ERU - Emission Reduction Unit"
EE,78546858,2017,"ERU - Emission Reduction Unit"
HU,48817008,2017,"ERU - Emission Reduction Unit"
LT,78557663,2017,"ERU - Emission Reduction Unit"
LV,40019354,2017,"ERU - Emission Reduction Unit"
NL,91519200,2017,"ERU - Emission Reduction Unit"
CZ,46249774,2017,"ERU - Emission Reduction Unit"
BG,40548655,2017,"ERU - Emission Reduction Unit"
PT,50779,2018,"ERU - Emission Reduction Unit"
NL,5398287,2018,"ERU - Emission Reduction Unit"
FI,408131,2018,"ERU - Emission Reduction Unit"
NO,59163,2018,"ERU - Emission Reduction Unit"
MY,159532,2011,"ERU - Emission Reduction Unit"
DE,8021199,2009,"ERU - Emission Reduction Unit"
PT,3849718,2009,"ERU - Emission Reduction Unit"
PL,6422851,2009,"ERU - Emission Reduction Unit"
SK,2932353,2009,"ERU - Emission Reduction Unit"
SI,796529,2009,"ERU - Emission Reduction Unit"
FR,7067418,2009,"ERU - Emission Reduction Unit"
SE,5042606,2009,"ERU - Emission Reduction Unit"
CZ,5872450,2009,"ERU - Emission Reduction Unit"
CH,5420535,2017,"ERU - Emission Reduction Unit"
RO,23826412,2017,"ERU - Emission Reduction Unit"
CH,75241290,2018,"ERU - Emission Reduction Unit"
SK,52646,2018,"ERU - Emission Reduction Unit"
HK,59561,2011,"ERU - Emission Reduction Unit"
FR,6368846,2016,"ERU - Emission Reduction Unit"
,3029294,2016,"ERU - Emission Reduction Unit"
ES,9135067,2016,"ERU - Emission Reduction Unit"
GB,10029159,2016,"ERU - Emission Reduction Unit"
PL,6562852,2016,"ERU - Emission Reduction Unit"
HK,66320,2017,"ERU - Emission Reduction Unit"
US,146057,2009,"ERU - Emission Reduction Unit"
US,6713085,2011,"ERU - Emission Reduction Unit"
US,2887720,2010,"ERU - Emission Reduction Unit"
KR,1376579,2012,"ERU - Emission Reduction Unit"
JP,203163,2012,"ERU - Emission Reduction Unit"
CH,42981448,2011,"ERU - Emission Reduction Unit"
KY,256583,2010,"ERU - Emission Reduction Unit"
IT,2278671,2009,"ERU - Emission Reduction Unit"
JE,1185908,2010,"ERU - Emission Reduction Unit"
JE,5751497,2011,"ERU - Emission Reduction Unit"
JE,5054126,2012,"ERU - Emission Reduction Unit"
TR,44853,2014,"ERU - Emission Reduction Unit"
LI,38902252,2017,"ERU - Emission Reduction Unit"
EE,448215937,2015,"ERU - Emission Reduction Unit"
LI,231051,2014,"ERU - Emission Reduction Unit"
NL,6416632,2016,"ERU - Emission Reduction Unit"
BE,7047655,2016,"ERU - Emission Reduction Unit"
GR,1329423,2016,"ERU - Emission Reduction Unit"
SE,5621379,2016,"ERU - Emission Reduction Unit"
AT,1430324,2016,"ERU - Emission Reduction Unit"
DK,3653145,2016,"ERU - Emission Reduction Unit"
IE,1404262,2016,"ERU - Emission Reduction Unit"
EE,2032168,2016,"ERU - Emission Reduction Unit"
HU,1525736,2016,"ERU - Emission Reduction Unit"
LT,3801179,2016,"ERU - Emission Reduction Unit"
LV,2068546,2016,"ERU - Emission Reduction Unit"
FI,5500068,2016,"ERU - Emission Reduction Unit"
LI,1444634,2016,"ERU - Emission Reduction Unit"
