MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
Other activity,5068249,2008
Prodcution of aluminium,514905,2008
Production of adipic acid,0,2008
Production of ammonia,1846223,2008
Production of bulk chemicals,27211100,2008
Production of carbon black,1738597,2008
production of cement clinker ,173602826,2008
Production of coke,13962599,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,369285,2008
Production of hydrogen and synthesis gas,588211,2008
Production of metals,13530092,2008
Production of nitric acid,480722,2008
production of pig iron or steel ,165060298,2008
Production of quicklime,34412940,2008
Production of sodium carbonates,1083931,2008
Refining of mineral oil,119847064,2008
