MAIN_ACT,net,year
Mineral oil refineries,112430,2008
Other activity,0,2008
Prodcution of aluminium,0,2008
Production of adipic acid,0,2008
Production of ammonia,0,2008
Production of bulk chemicals,0,2008
Production of carbon black,0,2008
production of cement clinker ,8515,2008
Production of coke,-65984,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,0,2008
Production of hydrogen and synthesis gas,0,2008
Production of metals,0,2008
Production of nitric acid,0,2008
production of pig iron or steel ,-9644,2008
Production of quicklime,13838,2008
Production of sodium carbonates,0,2008
Refining of mineral oil,73611,2008
